,original_description,code,nearest_level1_code,addicional_info,original_code_system,article,obs,Unnamed: 7,code_description,level1_code_description,umls_cui,level1_umls_cui
554,Other diseases of the circulatory system,I06,I06,,ICD10,Sundmacher et al (2015),,,Rheumatic aortic valve diseases,Rheumatic aortic valve diseases,C0684196,C0684196
555,Other diseases of the circulatory system,I08.0,I08,,ICD10,Sundmacher et al (2015),,,Rheumatic disorders of both mitral and aortic valves,Multiple valve diseases,,
556,Other diseases of the circulatory system,I49.8,I49,,ICD10,Sundmacher et al (2015),,,Other specified cardiac arrhythmias,Other cardiac arrhythmias,C0428908,C0494598
557,Other diseases of the circulatory system,I49.9,I49,,ICD10,Sundmacher et al (2015),,,"Cardiac arrhythmia, unspecified",Other cardiac arrhythmias,C0003811,C0494598
558,Other diseases of the circulatory system,I67.2,I67,,ICD10,Sundmacher et al (2015),,,Cerebral atherosclerosis,Other cerebrovascular diseases,,C0393949
559,Other diseases of the circulatory system,I67.4,I67,,ICD10,Sundmacher et al (2015),,,Hypertensive encephalopathy,Other cerebrovascular diseases,C0151620,C0393949
560,Other diseases of the circulatory system,I70,I70,h,ICD10,Sundmacher et al (2015),,,Atherosclerosis,Atherosclerosis,C0264956,C0264956
561,Other diseases of the circulatory system,I73,I73,,ICD10,Sundmacher et al (2015),,,Other peripheral vascular diseases,Other peripheral vascular diseases,C0553983,C0553983
562,Other diseases of the circulatory system,I78,I78,h,ICD10,Sundmacher et al (2015),,,Diseases of capillaries,Diseases of capillaries,C0155765,C0155765
563,Other diseases of the circulatory system,I80.0,I80,h,ICD10,Sundmacher et al (2015),,,Phlebitis and thrombophlebitis of superficial vessels of lower extremities,Phlebitis and thrombophlebitis,,C0031542
564,Other diseases of the circulatory system,I80.80,I80,h,ICD10,Sundmacher et al (2015),,,ERROR,Phlebitis and thrombophlebitis,ERROR - atom,C0031542
565,Other diseases of the circulatory system,I83a,I83,,ICD10,Sundmacher et al (2015),,,ERROR,Varicose veins of lower extremities,ERROR - atom,C0155778
566,Other diseases of the circulatory system,I86,I86,h,ICD10,Sundmacher et al (2015),,,Varicose veins of other sites,Varicose veins of other sites,C0155797,C0155797
567,Other diseases of the circulatory system,I87,I87,h,ICD10,Sundmacher et al (2015),,,Other disorders of veins,Other disorders of veins,C0494626,C0494626
568,Other diseases of the circulatory system,I95,I95,g,ICD10,Sundmacher et al (2015),,,Hypotension,Hypotension,C0020649,C0020649
569,Other diseases of the circulatory system,R00.0,R00,,ICD10,Sundmacher et al (2015),,,"Tachycardia, unspecified",Abnormalities of heart beat,C0039231,C1744601
570,Other diseases of the circulatory system,R00.2,R00,,ICD10,Sundmacher et al (2015),,,Palpitations,Abnormalities of heart beat,C0030252,C1744601
571,Other diseases of the circulatory system,R47.0,R47,,ICD10,Sundmacher et al (2015),,,Dysphasia and aphasia,"Speech disturbances, not elsewhere classified",C1313975,C0869217
572,Other diseases of the circulatory system,I83,I83,g,ICD10,Sundmacher et al (2015),,,Varicose veins of lower extremities,Varicose veins of lower extremities,C0155778,C0155778
573,Other diseases of the circulatory system,I86,I86,h,ICD10,Sundmacher et al (2015),,,Varicose veins of other sites,Varicose veins of other sites,C0155797,C0155797
574,Other diseases of the circulatory system,I87,I87,h,ICD10,Sundmacher et al (2015),,,Other disorders of veins,Other disorders of veins,C0494626,C0494626
575,Other diseases of the circulatory system,I95,I95,g,ICD10,Sundmacher et al (2015),,,Hypotension,Hypotension,C0020649,C0020649
576,Other diseases of the circulatory system,R00.0,R00,,ICD10,Sundmacher et al (2015),,,"Tachycardia, unspecified",Abnormalities of heart beat,C0039231,C1744601
577,Other diseases of the circulatory system,R00.2,R00,,ICD10,Sundmacher et al (2015),,,Palpitations,Abnormalities of heart beat,C0030252,C1744601
578,Other diseases of the circulatory system,R47.0,R47,,ICD10,Sundmacher et al (2015),,,Dysphasia and aphasia,"Speech disturbances, not elsewhere classified",C1313975,C0869217
579,Bronchitis & COPD,J20,J20,,ICD10,Sundmacher et al (2015),,,Acute bronchitis,Acute bronchitis,C0149514,C0149514
580,Bronchitis & COPD,J21,J21,,ICD10,Sundmacher et al (2015),,,Acute bronchiolitis,Acute bronchiolitis,,
581,Bronchitis & COPD,J40,J40,,ICD10,Sundmacher et al (2015),,,"Bronchitis, not specified as acute or chronic","Bronchitis, not specified as acute or chronic",C0006277,C0006277
582,Bronchitis & COPD,J41,J41,,ICD10,Sundmacher et al (2015),,,Simple and mucopurulent chronic bronchitis,Simple and mucopurulent chronic bronchitis,C0392000,C0392000
583,Bronchitis & COPD,J42,J42,,ICD10,Sundmacher et al (2015),,,Unspecified chronic bronchitis,Unspecified chronic bronchitis,,
584,Bronchitis & COPD,J43,J43,,ICD10,Sundmacher et al (2015),,,Emphysema,Emphysema,C0034067,C0034067
585,Bronchitis & COPD,J47,J47,,ICD10,Sundmacher et al (2015),,,Bronchiectasis,Bronchiectasis,,
586,Mental and behavioural disorders due to use of alcohol or opioids,F10,F10,,ICD10,Sundmacher et al (2015),,,Alcohol related disorders,Alcohol related disorders,C0236664,C0236664
587,Mental and behavioural disorders due to use of alcohol or opioids,F11,F11,g,ICD10,Sundmacher et al (2015),,,Opioid related disorders,Opioid related disorders,C0027412,C0027412
588,Back pain [dorsopathies],M42,M42,"g, i",ICD10,Sundmacher et al (2015),,,Spinal osteochondrosis,Spinal osteochondrosis,C0477611,C0477611
589,Back pain [dorsopathies],M47,M47,"g, i",ICD10,Sundmacher et al (2015),,,Spondylosis,Spondylosis,C0038019,C0038019
590,Back pain [dorsopathies],M53,M53,"h, i",ICD10,Sundmacher et al (2015),,,"Other and unspecified dorsopathies, not elsewhere classified","Other and unspecified dorsopathies, not elsewhere classified",C2895415,C2895415
591,Back pain [dorsopathies],M54,M54,"h, i",ICD10,Sundmacher et al (2015),,,Dorsalgia,Dorsalgia,C0004604,C0004604
592,Hypertension ,I10,I10,,ICD10,Sundmacher et al (2015),,,Essential (primary) hypertension,Essential (primary) hypertension,C0085580,C0085580
593,Hypertension ,I11,I11,,ICD10,Sundmacher et al (2015),,,Hypertensive heart disease,Hypertensive heart disease,,
594,Hypertension ,I12,I12,,ICD10,Sundmacher et al (2015),,,Hypertensive chronic kidney disease,Hypertensive chronic kidney disease,C0848548,C0848548
595,Hypertension ,I13,I13,,ICD10,Sundmacher et al (2015),,,Hypertensive heart and chronic kidney disease,Hypertensive heart and chronic kidney disease,C0155601,C0155601
596,Hypertension ,I14,I14,,ICD10,Sundmacher et al (2015),,,ERROR,ERROR,ERROR - atom,ERROR - atom
597,Hypertension ,I15,I15,,ICD10,Sundmacher et al (2015),,,Secondary hypertension,Secondary hypertension,C0155616,C0155616
598,Gastroenteritis and other diseases of intestines ,K52.2,K52,,ICD10,Sundmacher et al (2015),,,Allergic and dietetic gastroenteritis and colitis,Other and unspecified noninfective gastroenteritis and colitis,,C0029512
599,Gastroenteritis and other diseases of intestines ,K52.8,K52,,ICD10,Sundmacher et al (2015),,,Other specified noninfective gastroenteritis and colitis,Other and unspecified noninfective gastroenteritis and colitis,C0348738,C0029512
600,Gastroenteritis and other diseases of intestines ,K52.9,K52,,ICD10,Sundmacher et al (2015),,,"Noninfective gastroenteritis and colitis, unspecified",Other and unspecified noninfective gastroenteritis and colitis,C0341276,C0029512
601,Gastroenteritis and other diseases of intestines ,K57,K57,h,ICD10,Sundmacher et al (2015),,,Diverticular disease of intestine,Diverticular disease of intestine,C4317009,C4317009
602,Gastroenteritis and other diseases of intestines ,K58,K58,h,ICD10,Sundmacher et al (2015),,,Irritable bowel syndrome,Irritable bowel syndrome,C0022104,C0022104
603,Gastroenteritis and other diseases of intestines ,K59.0,K59,,ICD10,Sundmacher et al (2015),,,Constipation,Other functional intestinal disorders,C0009806,C0341089
604,Intestinal infectious diseases ,A01,A01,,ICD10,Sundmacher et al (2015),,,Typhoid and paratyphoid fevers,Typhoid and paratyphoid fevers,C0275976,C0275976
605,Intestinal infectious diseases ,A02,A02,,ICD10,Sundmacher et al (2015),,,Other salmonella infections,Other salmonella infections,,
606,Intestinal infectious diseases ,A04,A04,,ICD10,Sundmacher et al (2015),,,Other bacterial intestinal infections,Other bacterial intestinal infections,C0494023,C0494023
607,Intestinal infectious diseases ,A05,A05,,ICD10,Sundmacher et al (2015),,,"Other bacterial foodborne intoxications, not elsewhere classified","Other bacterial foodborne intoxications, not elsewhere classified",C2880103,C2880103
608,Intestinal infectious diseases ,A07,A07,,ICD10,Sundmacher et al (2015),,,Other protozoal intestinal diseases,Other protozoal intestinal diseases,C0152506,C0152506
609,Intestinal infectious diseases ,A08,A08,,ICD10,Sundmacher et al (2015),,,Viral and other specified intestinal infections,Viral and other specified intestinal infections,C0494032,C0494032
610,Intestinal infectious diseases ,A09,A09,,ICD10,Sundmacher et al (2015),,,"Infectious gastroenteritis and colitis, unspecified","Infectious gastroenteritis and colitis, unspecified",C0021342,C0021342
611,Influenza and pneumonia ,J10,J10,,ICD10,Sundmacher et al (2015),,,Influenza due to other identified influenza virus,Influenza due to other identified influenza virus,C0276353,C0276353
612,Influenza and pneumonia ,J11,J11,,ICD10,Sundmacher et al (2015),,,Influenza due to unidentified influenza virus,Influenza due to unidentified influenza virus,C2977051,C2977051
613,Influenza and pneumonia ,J13,J13,,ICD10,Sundmacher et al (2015),,,Pneumonia due to Streptococcus pneumoniae,Pneumonia due to Streptococcus pneumoniae,C0155862,C0155862
614,Influenza and pneumonia ,J14,J14,,ICD10,Sundmacher et al (2015),,,Pneumonia due to Hemophilus influenzae,Pneumonia due to Hemophilus influenzae,,
615,Influenza and pneumonia ,J15.3,J15,,ICD10,Sundmacher et al (2015),,,"Pneumonia due to streptococcus, group B","Bacterial pneumonia, not elsewhere classified",C0348801,
616,Influenza and pneumonia ,J15.4,J15,,ICD10,Sundmacher et al (2015),,,Pneumonia due to other streptococci,"Bacterial pneumonia, not elsewhere classified",C0375326,
617,Influenza and pneumonia ,J15.7,J15,,ICD10,Sundmacher et al (2015),,,Pneumonia due to Mycoplasma pneumoniae,"Bacterial pneumonia, not elsewhere classified",C0032302,
618,Influenza and pneumonia ,J15.8,J15,,ICD10,Sundmacher et al (2015),,,Pneumonia due to other specified bacteria,"Bacterial pneumonia, not elsewhere classified",C0032286,
619,Influenza and pneumonia ,J15.9,J15,,ICD10,Sundmacher et al (2015),,,Unspecified bacterial pneumonia,"Bacterial pneumonia, not elsewhere classified",,
620,Influenza and pneumonia ,J16.8,J16,,ICD10,Sundmacher et al (2015),,,Pneumonia due to other specified infectious organisms,"Pneumonia due to other infectious organisms, not elsewhere classified",C0348679,C0494644
621,Influenza and pneumonia ,J18.0,J18,,ICD10,Sundmacher et al (2015),,,"Bronchopneumonia, unspecified organism","Pneumonia, unspecified organism",C0006285,C0339951
622,Influenza and pneumonia ,J18.1,J18,,ICD10,Sundmacher et al (2015),,,"Lobar pneumonia, unspecified organism","Pneumonia, unspecified organism",C0339966,C0339951
623,Influenza and pneumonia ,J18.8,J18,,ICD10,Sundmacher et al (2015),,,"Other pneumonia, unspecified organism","Pneumonia, unspecified organism",C0348685,C0339951
624,Influenza and pneumonia ,J18.9,J18,,ICD10,Sundmacher et al (2015),,,"Pneumonia, unspecified organism","Pneumonia, unspecified organism",C0339951,C0339951
625,Influenza and pneumonia ,J18.9,J18,,ICD10,Sundmacher et al (2015),,,"Pneumonia, unspecified organism","Pneumonia, unspecified organism",C0339951,C0339951
626,Ear nose throat infections ,H66,H66,,ICD10,Sundmacher et al (2015),,,Suppurative and unspecified otitis media,Suppurative and unspecified otitis media,C0029888,C0029888
627,Ear nose throat infections ,J01,J01,,ICD10,Sundmacher et al (2015),,,Acute sinusitis,Acute sinusitis,,
628,Ear nose throat infections ,J02,J02,,ICD10,Sundmacher et al (2015),,,Acute pharyngitis,Acute pharyngitis,,
629,Ear nose throat infections ,J03,J03,,ICD10,Sundmacher et al (2015),,,Acute tonsillitis,Acute tonsillitis,C0001361,C0001361
630,Ear nose throat infections ,J06,J06,,ICD10,Sundmacher et al (2015),,,Acute upper respiratory infections of multiple and unspecified sites,Acute upper respiratory infections of multiple and unspecified sites,C0264223,C0264223
631,Ear nose throat infections ,J31,J31,,ICD10,Sundmacher et al (2015),,,"Chronic rhinitis, nasopharyngitis and pharyngitis","Chronic rhinitis, nasopharyngitis and pharyngitis",C0494651,C0494651
632,Ear nose throat infections ,J32,J32,h,ICD10,Sundmacher et al (2015),,,Chronic sinusitis,Chronic sinusitis,C0037199,C0037199
633,Ear nose throat infections ,J35,J35,g,ICD10,Sundmacher et al (2015),,,Chronic diseases of tonsils and adenoids,Chronic diseases of tonsils and adenoids,C0155828,C0155828
634,Depressive disorders,F32,F32,"h, i",ICD10,Sundmacher et al (2015),,,Depressive episode,Depressive episode,C0349217,C0349217
635,Depressive disorders,F33,F33,"h, i",ICD10,Sundmacher et al (2015),,,"Major depressive disorder, recurrent","Major depressive disorder, recurrent",,
636,Diabetes mellitus ,E10.2,E10,,ICD10,Sundmacher et al (2015),,,Type 1 diabetes mellitus with kidney complications,Type 1 diabetes mellitus,C2874020,C0011854
637,Diabetes mellitus ,E10.3,E10,,ICD10,Sundmacher et al (2015),,,Type 1 diabetes mellitus with ophthalmic complications,Type 1 diabetes mellitus,C0348914,C0011854
638,Diabetes mellitus ,E10.4,E10,,ICD10,Sundmacher et al (2015),,,Type 1 diabetes mellitus with neurological complications,Type 1 diabetes mellitus,C0348915,C0011854
639,Diabetes mellitus ,E10.5,E10,,ICD10,Sundmacher et al (2015),,,Type 1 diabetes mellitus with circulatory complications,Type 1 diabetes mellitus,C0837011,C0011854
640,Diabetes mellitus ,E10.6,E10,,ICD10,Sundmacher et al (2015),,,Type 1 diabetes mellitus with other specified complications,Type 1 diabetes mellitus,C0342261,C0011854
641,Diabetes mellitus ,E10.8,E10,,ICD10,Sundmacher et al (2015),,,Type 1 diabetes mellitus with unspecified complications,Type 1 diabetes mellitus,C1299613,C0011854
642,Diabetes mellitus ,E10.9,E10,,ICD10,Sundmacher et al (2015),,,Type 1 diabetes mellitus without complications,Type 1 diabetes mellitus,C0494284,C0011854
643,Diabetes mellitus ,E11,E11,,ICD10,Sundmacher et al (2015),,,Type 2 diabetes mellitus,Type 2 diabetes mellitus,C0011847,C0011847
644,Diabetes mellitus ,E13.6,E13,,ICD10,Sundmacher et al (2015),,,Other specified diabetes mellitus with other specified complications,Other specified diabetes mellitus,C0348931,
645,Diabetes mellitus ,E13.7,E13,,ICD10,Sundmacher et al (2015),,,ERROR,Other specified diabetes mellitus,ERROR - atom,
646,Diabetes mellitus ,E13.9,E13,,ICD10,Sundmacher et al (2015),,,Other specified diabetes mellitus without complications,Other specified diabetes mellitus,C0494293,
647,Diabetes mellitus ,E14,E14,,ICD10,Sundmacher et al (2015),,,ERROR,ERROR,ERROR - atom,ERROR - atom
648,Diabetes mellitus ,E16.2,E16,,ICD10,Sundmacher et al (2015),,,"Hypoglycemia, unspecified",Other disorders of pancreatic internal secretion,C0020615,C0154189
649,Gonarthrosis [arthrosis of knee] ,M17.0,M17,h,ICD10,Sundmacher et al (2015),,,Bilateral primary osteoarthritis of knee,Osteoarthritis of knee,C2893930,C0409959
650,Gonarthrosis [arthrosis of knee] ,M17.1,M17,h,ICD10,Sundmacher et al (2015),,,Unilateral primary osteoarthritis of knee,Osteoarthritis of knee,,C0409959
651,Gonarthrosis [arthrosis of knee] ,M17.4,M17,h,ICD10,Sundmacher et al (2015),,,Other bilateral secondary osteoarthritis of knee,Osteoarthritis of knee,C2893942,C0409959
652,Gonarthrosis [arthrosis of knee] ,M17.5,M17,h,ICD10,Sundmacher et al (2015),,,Other unilateral secondary osteoarthritis of knee,Osteoarthritis of knee,,C0409959
653,Gonarthrosis [arthrosis of knee] ,M17.9,M17,h,ICD10,Sundmacher et al (2015),,,"Osteoarthritis of knee, unspecified",Osteoarthritis of knee,C0409959,C0409959
654,Soft tissue disorders ,G56.0,G56,h,ICD10,Sundmacher et al (2015),,,Carpal tunnel syndrome,Mononeuropathies of upper limb,C0007286,C0494487
655,Soft tissue disorders ,M67.4,M67,,ICD10,Sundmacher et al (2015),,,Ganglion,Other disorders of synovium and tendon,C1258666,C0494980
656,Soft tissue disorders ,M71.3,M71,,ICD10,Sundmacher et al (2015),,,Other bursal cyst,Other bursopathies,C0085648,C0494983
657,Soft tissue disorders ,M75,M75,h,ICD10,Sundmacher et al (2015),,,Shoulder lesions,Shoulder lesions,C0494989,C0494989
658,Soft tissue disorders ,M76,M76,h,ICD10,Sundmacher et al (2015),,,"Enthesopathies, lower limb, excluding foot","Enthesopathies, lower limb, excluding foot",C0494990,C0494990
659,Soft tissue disorders ,M77,M77,,ICD10,Sundmacher et al (2015),,,Other enthesopathies,Other enthesopathies,C0494992,C0494992
660,Soft tissue disorders ,M79b,M79,,ICD10,Sundmacher et al (2015),,,ERROR,"Other and unspecified soft tissue disorders, not elsewhere classified",ERROR - atom,C2896437
661,Other avoidable mental and behavioural disorders ,F40,F40,h,ICD10,Sundmacher et al (2015),,,Phobic anxiety disorders,Phobic anxiety disorders,C0349231,C0349231
662,Other avoidable mental and behavioural disorders ,F41,F41,h,ICD10,Sundmacher et al (2015),,,Other anxiety disorders,Other anxiety disorders,C0349232,C0349232
663,Other avoidable mental and behavioural disorders ,F43,F43,g,ICD10,Sundmacher et al (2015),,,"Reaction to severe stress, and adjustment disorders","Reaction to severe stress, and adjustment disorders",C0494406,C0494406
664,Other avoidable mental and behavioural disorders ,F45,F45,g,ICD10,Sundmacher et al (2015),,,Somatoform disorders,Somatoform disorders,C0037650,C0037650
665,Other avoidable mental and behavioural disorders ,F50.0,F50,h,ICD10,Sundmacher et al (2015),,,Anorexia nervosa,Eating disorders,C0003125,C0013473
666,Other avoidable mental and behavioural disorders ,F50.2,F50,h,ICD10,Sundmacher et al (2015),,,Bulimia nervosa,Eating disorders,C0006370,C0013473
667,Other avoidable mental and behavioural disorders ,F60,F60,g,ICD10,Sundmacher et al (2015),,,Specific personality disorders,Specific personality disorders,C0349272,C0349272
668,Diseases of the eye ,H25,H25,g,ICD10,Sundmacher et al (2015),,,Age-related cataract,Age-related cataract,C0036646,C0036646
669,Diseases of the eye ,H40,H40,g,ICD10,Sundmacher et al (2015),,,Glaucoma,Glaucoma,C0017601,C0017601
670,Diseases of urinary system ,N30,N30,,ICD10,Sundmacher et al (2015),,,Cystitis,Cystitis,C0010692,C0010692
671,Diseases of urinary system ,N34,N34,,ICD10,Sundmacher et al (2015),,,Urethritis and urethral syndrome,Urethritis and urethral syndrome,C0495067,C0495067
672,Diseases of urinary system ,N39.0,N39,,ICD10,Sundmacher et al (2015),,,"Urinary tract infection, site not specified",Other disorders of urinary system,C0042029,C0178288
673,Sleep disorders,G47,G47,"g, i",ICD10,Sundmacher et al (2015),,,Sleep disorders,Sleep disorders,C0851578,C0851578
674,Diseases of the skin and subcutaneous tissue ,A46,A46,,ICD10,Sundmacher et al (2015),,,Erysipelas,Erysipelas,C0014733,C0014733
675,Diseases of the skin and subcutaneous tissue ,L01,L01,,ICD10,Sundmacher et al (2015),,,Impetigo,Impetigo,C0021099,C0021099
676,Diseases of the skin and subcutaneous tissue ,L02,L02,,ICD10,Sundmacher et al (2015),,,"Cutaneous abscess, furuncle and carbuncle","Cutaneous abscess, furuncle and carbuncle",C0494813,C0494813
677,Diseases of the skin and subcutaneous tissue ,L04,L04,,ICD10,Sundmacher et al (2015),,,Acute lymphadenitis,Acute lymphadenitis,,
678,Diseases of the skin and subcutaneous tissue ,L08.0,L08,,ICD10,Sundmacher et al (2015),,,Pyoderma,Other local infections of skin and subcutaneous tissue,,C0157707
679,Diseases of the skin and subcutaneous tissue ,L08.8,L08,,ICD10,Sundmacher et al (2015),,,Other specified local infections of the skin and subcutaneous tissue,Other local infections of skin and subcutaneous tissue,C0029813,C0157707
680,Diseases of the skin and subcutaneous tissue ,L08.9,L08,,ICD10,Sundmacher et al (2015),,,"Local infection of the skin and subcutaneous tissue, unspecified",Other local infections of skin and subcutaneous tissue,C0406047,C0157707
681,Diseases of the skin and subcutaneous tissue ,L60.0,L60,,ICD10,Sundmacher et al (2015),,,Ingrowing nail,Nail disorders,C0027343,C0027339
682,Diseases of the skin and subcutaneous tissue ,L72.1,L72,,ICD10,Sundmacher et al (2015),,,Pilar and trichodermal cyst,Follicular cysts of skin and subcutaneous tissue,C3264463,C0477515
683,Diseases of the skin and subcutaneous tissue ,L98.0,L98,,ICD10,Sundmacher et al (2015),,,Pyogenic granuloma,"Other disorders of skin and subcutaneous tissue, not elsewhere classified",C0263218,C0494889
684,Thyroid disorder ,E03,E03,,ICD10,Sundmacher et al (2015),,,Other hypothyroidism,Other hypothyroidism,C0494271,C0494271
685,Thyroid disorder ,E04,E04,,ICD10,Sundmacher et al (2015),,,Other nontoxic goiter,Other nontoxic goiter,C0494274,C0494274
686,Thyroid disorder ,E05,E05,,ICD10,Sundmacher et al (2015),,,Thyrotoxicosis [hyperthyroidism],Thyrotoxicosis [hyperthyroidism],C0494276,C0494276
687,Metabolic disorders,E86,E86,,ICD10,Sundmacher et al (2015),,,Volume depletion,Volume depletion,C0546884,C0546884
688,Metabolic disorders,E87.6,E87,,ICD10,Sundmacher et al (2015),,,Hypokalemia,"Other disorders of fluid, electrolyte and acid-base balance",C0020621,C0494355
689,Metabolic disorders,E89.0,E89,,ICD10,Sundmacher et al (2015),,,Postprocedural hypothyroidism,"Postprocedural endocrine and metabolic complications and disorders, not elsewhere classified",,C2874314
690,Melanoma and other malignant neoplasms of skin ,C43,C43,,ICD10,Sundmacher et al (2015),,,Malignant melanoma of skin,Malignant melanoma of skin,C0151779,C0151779
691,Melanoma and other malignant neoplasms of skin ,C44,C44,,ICD10,Sundmacher et al (2015),,,Other and unspecified malignant neoplasm of skin,Other and unspecified malignant neoplasm of skin,C1321904,C1321904
692,Gastritis and duodenitis ,K21,K21,,ICD10,Sundmacher et al (2015),,,Gastro-esophageal reflux disease,Gastro-esophageal reflux disease,C0017168,C0017168
693,Gastritis and duodenitis ,K29.7,K29,,ICD10,Sundmacher et al (2015),,,"Gastritis, unspecified",Gastritis and duodenitis,C0017152,C0267166
694,Gastritis and duodenitis ,K29.9,K29,,ICD10,Sundmacher et al (2015),,,"Gastroduodenitis, unspecified",Gastritis and duodenitis,C0267166,C0267166
695,Gastritis and duodenitis ,K30,K30,,ICD10,Sundmacher et al (2015),,,Functional dyspepsia,Functional dyspepsia,C0267167,C0267167
696,Gastritis and duodenitis ,K31,K31,h,ICD10,Sundmacher et al (2015),,,Other diseases of stomach and duodenum,Other diseases of stomach and duodenum,C0156084,C0156084
697,Migraine and headache syndromes ,G43,G43,,ICD10,Sundmacher et al (2015),,,Migraine,Migraine,C0149931,C0149931
698,Migraine and headache syndromes ,G44.0,G44,,ICD10,Sundmacher et al (2015),,,Cluster headaches and other trigeminal autonomic cephalgias (TAC),Other headache syndromes,C2875218,C0494479
699,Migraine and headache syndromes ,G44.1,G44,,ICD10,Sundmacher et al (2015),,,"Vascular headache, not elsewhere classified",Other headache syndromes,C0869050,C0494479
700,Migraine and headache syndromes ,G44.3,G44,,ICD10,Sundmacher et al (2015),,,Post-traumatic headache,Other headache syndromes,C0032816,C0494479
701,Migraine and headache syndromes ,G44.4,G44,,ICD10,Sundmacher et al (2015),,,"Drug-induced headache, not elsewhere classified",Other headache syndromes,C0869051,C0494479
702,Migraine and headache syndromes ,G44.8,G44,,ICD10,Sundmacher et al (2015),,,Other specified headache syndromes,Other headache syndromes,C0477374,C0494479
703,Migraine and headache syndromes ,R51,R51,,ICD10,Sundmacher et al (2015),,,Headache,Headache,C0018681,C0018681
704,Malnutrition & nutritional deficiencies,D50,D50,,ICD10,Sundmacher et al (2015),,,Iron deficiency anemia,Iron deficiency anemia,C0008272,C0008272
705,Malnutrition & nutritional deficiencies,D51,D51,h,ICD10,Sundmacher et al (2015),,,Vitamin B12 deficiency anemia,Vitamin B12 deficiency anemia,C2004521,C2004521
706,Malnutrition & nutritional deficiencies,D52,D52,h,ICD10,Sundmacher et al (2015),,,Folate deficiency anemia,Folate deficiency anemia,C0151482,C0151482
707,Malnutrition & nutritional deficiencies,D53.1,D53,h,ICD10,Sundmacher et al (2015),,,"Other megaloblastic anemias, not elsewhere classified",Other nutritional anemias,C0869045,
708,Malnutrition & nutritional deficiencies,D56b,D56,h,ICD10,Sundmacher et al (2015),,,ERROR,Thalassemia,ERROR - atom,C0039730
709,Malnutrition & nutritional deficiencies,E40,E40,,ICD10,Sundmacher et al (2015),,,Kwashiorkor,Kwashiorkor,C0022806,C0022806
710,Malnutrition & nutritional deficiencies,E41,E41,,ICD10,Sundmacher et al (2015),,,Nutritional marasmus,Nutritional marasmus,C0086588,C0086588
711,Malnutrition & nutritional deficiencies,E42,E42,,ICD10,Sundmacher et al (2015),,,Marasmic kwashiorkor,Marasmic kwashiorkor,,
712,Malnutrition & nutritional deficiencies,E43,E43,,ICD10,Sundmacher et al (2015),,,Unspecified severe protein-calorie malnutrition,Unspecified severe protein-calorie malnutrition,,
713,Malnutrition & nutritional deficiencies,E44,E44,,ICD10,Sundmacher et al (2015),,,Protein-calorie malnutrition of moderate and mild degree,Protein-calorie malnutrition of moderate and mild degree,C2874217,C2874217
714,Malnutrition & nutritional deficiencies,E45,E45,,ICD10,Sundmacher et al (2015),,,Retarded development following protein-calorie malnutrition,Retarded development following protein-calorie malnutrition,,
715,Malnutrition & nutritional deficiencies,E46,E46,,ICD10,Sundmacher et al (2015),,,Unspecified protein-calorie malnutrition,Unspecified protein-calorie malnutrition,C0162429,C0162429
716,Malnutrition & nutritional deficiencies,E47,E47,,ICD10,Sundmacher et al (2015),,,ERROR,ERROR,ERROR - atom,ERROR - atom
717,Malnutrition & nutritional deficiencies,E48,E48,,ICD10,Sundmacher et al (2015),,,ERROR,ERROR,ERROR - atom,ERROR - atom
718,Malnutrition & nutritional deficiencies,E49,E49,,ICD10,Sundmacher et al (2015),,,ERROR,ERROR,ERROR - atom,ERROR - atom
719,Malnutrition & nutritional deficiencies,E50,E50,,ICD10,Sundmacher et al (2015),,,Vitamin A deficiency,Vitamin A deficiency,C0042842,C0042842
720,Malnutrition & nutritional deficiencies,E51,E51,,ICD10,Sundmacher et al (2015),,,Thiamine deficiency,Thiamine deficiency,C0039841,C0039841
721,Malnutrition & nutritional deficiencies,E52,E52,,ICD10,Sundmacher et al (2015),,,Niacin deficiency [pellagra],Niacin deficiency [pellagra],C4317126,C4317126
722,Malnutrition & nutritional deficiencies,E53,E53,,ICD10,Sundmacher et al (2015),,,Deficiency of other B group vitamins,Deficiency of other B group vitamins,C0494324,C0494324
723,Malnutrition & nutritional deficiencies,E54,E54,,ICD10,Sundmacher et al (2015),,,Ascorbic acid deficiency,Ascorbic acid deficiency,C0003969,C0003969
724,Malnutrition & nutritional deficiencies,E55,E55,,ICD10,Sundmacher et al (2015),,,Vitamin D deficiency,Vitamin D deficiency,C0042870,C0042870
725,Malnutrition & nutritional deficiencies,E56,E56,,ICD10,Sundmacher et al (2015),,,Other vitamin deficiencies,Other vitamin deficiencies,C0011157,C0011157
726,Malnutrition & nutritional deficiencies,E57,E57,,ICD10,Sundmacher et al (2015),,,ERROR,ERROR,ERROR - atom,ERROR - atom
727,Malnutrition & nutritional deficiencies,E58,E58,,ICD10,Sundmacher et al (2015),,,Dietary calcium deficiency,Dietary calcium deficiency,C0342922,C0342922
728,Malnutrition & nutritional deficiencies,E59,E59,,ICD10,Sundmacher et al (2015),,,Dietary selenium deficiency,Dietary selenium deficiency,,
729,Malnutrition & nutritional deficiencies,E60,E60,,ICD10,Sundmacher et al (2015),,,Dietary zinc deficiency,Dietary zinc deficiency,C0451818,C0451818
